oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
1305,15,NULL,NULL,NULL,0,1,assortatively,2021-03-19 12:31:36
1305,16,16,13.5,3,4,2,assortatively,2021-03-19 12:36:13
1305,14,0,15,3,5,3,assortatively,2021-03-19 12:38:18
1305,14,0,7.5,3,4,4,assortatively,2021-03-19 12:39:32
1305,1,1,11,3,4,5,assortatively,2021-03-19 12:41:43
1305,4,4,3.5,3,0,6,assortatively,2021-03-19 12:43:44
1305,5,0,6.5,3,1,7,assortatively,2021-03-19 12:45:47
1305,4,4,12.5,3,1,8,assortatively,2021-03-19 12:47:22
1305,20,0,20,3,0,9,assortatively,2021-03-19 12:49:29
1305,4,4,8,3,4,10,assortatively,2021-03-19 12:51:31
1305,14,14,5.5,3,0,11,assortatively,2021-03-19 12:53:48
1305,14,14,10,3,3,12,assortatively,2021-03-19 12:55:59
1305,14,0,8,3,3,13,assortatively,2021-03-19 12:57:35
1305,5,0,14,3,3,14,assortatively,2021-03-19 12:59:47
1305,1,0,10,3,0,15,assortatively,2021-03-19 13:01:29
1305,0,0,12,3,0,16,assortatively,2021-03-19 13:03:52
1305,0,0,5,3,0,17,assortatively,2021-03-19 13:06:21
1305,1,0,4,3,0,18,assortatively,2021-03-19 13:07:46
1305,1,1,4,3,0,19,assortatively,2021-03-19 13:09:56
1305,5,5,4,3,0,20,assortatively,2021-03-19 13:13:17
10403,10,NULL,NULL,NULL,1,1,assortatively,2021-03-19 12:30:17
10403,12,12,11.5,3,3,2,assortatively,2021-03-19 12:35:34
10403,13,NULL,NULL,NULL,3,3,assortatively,2021-03-19 12:38:19
13221,15,NULL,NULL,NULL,0,1,assortatively,2021-03-19 12:30:24
13221,15,15,14,3,4,2,assortatively,2021-03-19 12:35:17
13221,15,0,18.5,3,4,3,assortatively,2021-03-19 12:37:33
13221,12,0,8.5,3,4,4,assortatively,2021-03-19 12:39:42
13221,8,0,10.5,3,3,5,assortatively,2021-03-19 12:41:40
13221,15,0,5.5,3,2,6,assortatively,2021-03-19 12:43:35
13221,1,1,12,3,4,7,assortatively,2021-03-19 12:45:23
13221,10,10,3.5,3,0,8,assortatively,2021-03-19 12:47:31
13221,20,20,11,3,3,9,assortatively,2021-03-19 12:49:25
13221,15,15,2.5,3,4,10,assortatively,2021-03-19 12:51:26
13221,30,0,12,3,3,11,assortatively,2021-03-19 12:53:26
13221,10,0,30,2,5,12,assortatively,2021-03-19 12:55:34
13221,15,15,12.5,3,2,13,assortatively,2021-03-19 12:57:31
13221,15,0,9,3,3,14,assortatively,2021-03-19 12:59:28
13221,10,10,11.5,3,3,15,assortatively,2021-03-19 13:01:28
13221,15,15,12.5,3,3,16,assortatively,2021-03-19 13:03:21
13221,15,0,20,3,3,17,assortatively,2021-03-19 13:05:22
13221,10,0,17,3,3,18,assortatively,2021-03-19 13:07:20
13221,15,0,22.5,3,3,19,assortatively,2021-03-19 13:09:17
13221,30,0,22.5,3,3,20,assortatively,2021-03-19 13:11:24
13247,9,NULL,NULL,NULL,0,1,not,2021-03-19 12:30:18
13247,10,0,12.5,3,0,2,not,2021-03-19 12:35:31
13247,5,5,14,3,0,3,not,2021-03-19 12:37:27
13247,7,0,24,3,0,4,not,2021-03-19 12:39:16
13247,5,0,15,3,0,5,not,2021-03-19 12:41:26
13247,3,3,5.5,3,0,6,not,2021-03-19 12:43:20
13247,3,3,5,3,0,7,not,2021-03-19 12:45:21
13247,4,4,4.5,3,0,8,not,2021-03-19 12:47:16
13247,4,4,5,3,0,9,not,2021-03-19 12:49:14
13247,4,4,5,3,0,10,not,2021-03-19 12:51:18
13247,5,5,5.5,3,0,11,not,2021-03-19 12:53:19
13247,5,0,12,3,0,12,not,2021-03-19 12:55:38
13247,4,4,4.5,3,0,13,not,2021-03-19 12:57:18
13247,4,0,5,3,0,14,not,2021-03-19 12:59:15
13247,3,0,8.5,3,0,15,not,2021-03-19 13:01:24
13247,1,0,13,3,0,16,not,2021-03-19 13:03:19
13247,4,0,4,3,0,17,not,2021-03-19 13:05:16
13247,6,0,3,3,0,18,not,2021-03-19 13:07:43
13247,5,5,3.5,3,0,19,not,2021-03-19 13:09:18
13247,5,5,3.5,3,0,20,not,2021-03-19 13:11:15
13252,30,NULL,NULL,NULL,4,1,randomly,2021-03-19 12:31:12
13252,29,0,17.5,3,5,2,randomly,2021-03-19 12:36:09
13252,30,0,23,3,0,3,randomly,2021-03-19 12:37:41
13252,20,0,5.5,3,2,4,randomly,2021-03-19 12:39:31
13252,2,2,6.5,3,5,5,randomly,2021-03-19 12:42:23
13252,10,0,15,3,5,6,randomly,2021-03-19 12:43:48
13252,10,10,10,3,4,7,randomly,2021-03-19 12:46:06
13252,10,0,6.5,3,4,8,randomly,2021-03-19 12:48:08
13252,10,0,16,3,5,9,randomly,2021-03-19 12:49:46
